CleanTitle,genre
Clube da Luta,Thriller
Donnie Darko,Fantasy
Donnie Darko,Drama
Donnie Darko,Mystery
Blade Runner 2049,Science Fiction
Blade Runner 2049,Drama
Interestelar,Adventure
Interestelar,Drama
Interestelar,Science Fiction
O Lobo de Wall Street,Crime
O Lobo de Wall Street,Drama
O Lobo de Wall Street,Comedy
Baby Driver,Action
Baby Driver,Crime
Brooklyn 99,Comedy
Brooklyn 99,Crime
Daredevil,Fantasy
Daredevil,Action
Django Livre,Drama
Django Livre,Western
Akira,Animation
Akira,Science Fiction
Akira,Action
John Wick,Action
John Wick,Thriller
Nobody,Action
Nobody,Thriller
Lost,Mystery
Lost,Action & Adventure
Lost,Drama
Jessica Jones,Sci-Fi & Fantasy
Jessica Jones,Drama
Defensores,Sci-Fi & Fantasy
Defensores,Action & Adventure
Defensores,Crime
Luke Cage,Drama
Luke Cage,Sci-Fi & Fantasy
Luke Cage,Action & Adventure
Luke Cage,Crime
Punho de ferro,Action & Adventure
Punho de ferro,Drama
Punho de ferro,Sci-Fi & Fantasy
Oppenheimer,Drama
Oppenheimer,History
American Vandal,Comedy
American Vandal,Crime
Dune 1,Science Fiction
Dune 1,Adventure
Dune 2,Science Fiction
Dune 2,Adventure
O povo,Drama
8 mile,Drama
8 mile,Music
Para todos os garotos que já amei,Comedy
Para todos os garotos que já amei,Romance
Perdidos no Espaço,Sci-Fi & Fantasy
Perdidos no Espaço,Comedy
O menino que descobriu o vento,Drama
O menino que descobriu o vento,History
A ilha das rosas,Comedy
A ilha das rosas,Adventure
Mad Max estrada da fúria,Action
Mad Max estrada da fúria,Adventure
Mad Max estrada da fúria,Science Fiction
O castelo animado,Fantasy
O castelo animado,Animation
O castelo animado,Adventure
Venom,Science Fiction
Venom,Action
Sementes podres,Comedy
Sementes podres,Drama
Atypical,Drama
Atypical,Comedy
Kakegurui,Animation
Kakegurui,Mystery
Death Note,Animation
Death Note,Mystery
Death Note,Sci-Fi & Fantasy
I am not okay with this,Drama
I am not okay with this,Comedy
I am not okay with this,Sci-Fi & Fantasy
O Gambito da rainha,Drama
Ozark,Crime
Ozark,Drama
Suits,Drama
Amnésia,Animation
Amnésia,Drama
Amnésia,Sci-Fi & Fantasy
Amnésia,Mystery
O diabo de cada dia,Crime
O diabo de cada dia,Drama
O diabo de cada dia,Thriller
